etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
16     | #ˌɑksˈunɡiɑ# | *#ˌʊsˈʊɲɑ# | *#ˌusˈuɲɑ# | *#ˌuːsˈuɲa# | *#ˌuʃˈũɲa# | *#ˌuʃˈũɲa# | *#ˌuʃˈũɲə# {GOLD: #aʃˈũɲə#} | *#ˌuʃˈũɲə# {GOLD: #uʃˈũɲə#} | *#uʃˈuɲə# {GOLD: #uʃˈuɲə#} | *#uʃˈuɲə# {GOLD: #uʃˈuɲə#}
17     | #ˈɑlbɑnum# | *#ˈɑlbɑnʊ# | *#ˈɑlbɑnu# | *#ˈalbɑ̃ɾ̃u# | *#ˈalbɐɾ̃u# | *#ˈaːlbɐɾ̃ə# | *#ˈaːlbəɾ̃# {GOLD: #ˈaɾbə̃ɾ̃ə#} | *#ˈaːlbəɾ̃# {GOLD: >*} | *#ˈalbəɾ# {GOLD: >*} | *#ˈalbəɾ# {GOLD: #ˈaɾbəɾ#}
18     | #ˌɑlbɑːnˈensum# | *#ˌɑlbɑːnˈɛnsʊ# | *#ˌɑlbɑnˈɛsu# | *#əlbɑ̃ɾ̃ˈɛsu# | *#əlbə̃ɾ̃ˈɛʃu# | *#əlbə̃ɾ̃ˈɛːʃə# | *#əlbə̃ɾ̃ˈɛːʃ# {GOLD: #aɾbəɾ̃ˈɛʃ#} | *#əlbə̃ɾ̃ˈɛːʃ# {GOLD: >*} | *#əlbəɾˈɛʃ# {GOLD: >*} | *#əlbəɾˈɛʃ# {GOLD: #aɾbəɾˈɛʃ#}
19     | #ˈɑlium# | *#ˈɑʎʊ# | *#ˈɑʎu# | *#ˈaʎu# | *#ˈaʎu# | *#ˈaːʎə# | *#ˈaːʎ# {GOLD: >*} | *#ˈaːʎ# {GOLD: >*} | *#ˈaj# {GOLD: >*} | *#ˈaj# {GOLD: #ˈaj#}
20     | ... | ... | ... | *#llɪɡɔrˈia# | *#llɪɡəɾˈia# | *#lləɡəɾˈia# | *#lːəɡɾˈiː# {GOLD: #ləɡɔɾˈi#} | *#lːəɡɾˈiː# {GOLD: >*} | *#ləɡɾˈi# {GOLD: >*} | *#ləɡɾˈi# {GOLD: #lɔɡɔɾˈi#}
21     | ... | ... | *#ˌɑltˈɑre# | *#əltˈerɪ# | *#əltˈeɾɪ# | *#əltˈɛːɾə# | *#əltˈɛːɾ# {GOLD: #l̩tˈɛːɾ#} | *#əltˈɛːɾ# {GOLD: >*} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#}
22     | #ˌɑmbipˌɑtˈiːnum# | *#ˌɑmbʊpˌɑtˈinʊ# | *#ˌɑmbupˌɑtˈinu# | *#əmbupˌatˈinu# | *#ə̃mbəpətˈĩnu# | *#ə̃mbəpətˈĩːnə# | *#ə̃mbətˈĩː# {GOLD: #mpətˈĩː#} | *#ə̃mbətˈĩː# {GOLD: >*} | *#mətˈi# {GOLD: >*} | *#mətˈi# {GOLD: #mtˈi#}
23     | #ˌɑmbulˈɑːnioː# | *#ˌɑmbʊlˈɒːɲu# | *#ˌɑmbulˈoɲu# | *#əmbulˈoɲu# | *#ə̃mbulˈɔ̃ɲu# | *#ə̃mbulˠˈɔ̃ɲə# | *#ə̃mbulˠˈɔ̃ɲ# {GOLD: #m̩bəlˠˈɔ̃ɲ#} | *#ə̃mbulˠˈɔ̃ɲ# {GOLD: >*} | *#mbulˠˈɔɲ# {GOLD: >*} | *#mbulˠˈɔj# {GOLD: #mbalˠˈɔj#}
24     | #ˌɑmˈyndolɑ# | *#ˌɑmˈɪndʊlɑ# | *#ˌɑmˈendulɑ# | *#mˈendula# | *#mˈẽndula# | *#mˈɛ̃ndulˠə# | *#mˈɛ̃ndulˠ# {GOLD: >*} | *#mˈɛ̃ndulˠ# {GOLD: >*} | *#mˈɛndulˠ# {GOLD: >*} | *#mˈɛndulˠ# {GOLD: #mˈɛndulˠ#}
25     | #ˌɑmˈiːkum# | *#ˌɑmˈikʊ# | *#ˌɑmˈiku# | *#mˈiku# | *#mˈiku# | *#mˈikə# | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: #mˈik#}
26     | #ˈɑmitɑm# | *#ˈɑmɪtɑ# | *#ˈɑmetɑ# | *#ˈemɪta# | *#ˈẽmɪta# | *#ˈɛ̃mta# | *#ˈɛ̃mtə# {GOLD: #ˈæ̃mətə#} | *#ˈɛ̃mtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: #ˈɛmtə#}
27     | #ˌɑmˈurɡɑ# | *#ˌɑmˈʊrɡɑ# | *#ˌɑmˈurɡɑ# | *#mˈurɡa# | *#mˈuɾɡa# | *#mˈuːɾɡa# | *#mˈuːɾɡə# {GOLD: #mˈuɾɡə#} | *#mˈuːɾɡə# {GOLD: >*} | *#mˈuɾɡə# {GOLD: >*} | *#mˈuɾɡə# {GOLD: #mˈuɾɡə#}
28     | ... | ... | ... | ... | *#ˈɑ̃nɟɛlu# | *#ˈɑ̃nɟəlˠə# | *#ˈãɲɟ?0# {GOLD: >*} | *#ˈãɲɟ?0# {GOLD: >*} | *#ˈəɲɟ?0# {GOLD: >*} | *#ˈəɲɟəlˠ# {GOLD: #ˈəɲɟəlˠ#}
29     | ... | ... | *#ˈɑnɡɛlu# | *#ˈenɟɪlu# | *#ˈẽnɟɪlu# | *#ˈɛ̃nɟəlˠə# | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛɲɟ?0# {GOLD: >*} | *#ˈɛɲɟəlˠ# {GOLD: #ˈɛɲɟəlˠ#}
30     | #ˌɑnɡʷˈillɑm# | *#ˌɑɲˈɪllɑ# | *#ˌɑɲˈilːɑ# | *#ɲˈilːa# | *#ɲˈilːa# | *#ɲˈiːlːa# | *#ɲˈiːlːə# {GOLD: >*} | *#ɲˈiːlːə# {GOLD: >*} | *#ɲˈilə# {GOLD: >*} | *#ɲˈilə# {GOLD: #ɲˈilə#}
31     | #ˌɑnɡˈustum# | *#ˌɑŋɡˈʊstʊ# | *#ˌɑŋɡˈustu# | *#əŋɡˈustu# | *#ə̃ŋɡˈuʃtu# | *#ə̃ŋɡˈuːʃtə# | *#ə̃ŋɡˈuːʃt# {GOLD: #n̩ɡˈuʃt#} | *#ə̃ŋɡˈuːʃt# {GOLD: >*} | *#ŋɡˈuʃt# {GOLD: #əŋɡˈuʃt#} | *#ŋɡˈuʃt# {GOLD: #ŋɡˈuʃt#}
32     | #ˌɑnɡustˈɑːnioː# | *#ˌɑŋɡʊstˈɒːɲu# | *#ˌɑŋɡustˈoɲu# | *#əŋɡustˈoɲu# | *#ə̃ŋɡuːʃtˈɔ̃ɲu# | *#ə̃ŋɡuːʃtˈɔ̃ɲə# | *#ə̃ŋɡuːʃtˈɔ̃ɲ# {GOLD: >*} | *#ə̃ŋɡuːʃtˈɔ̃ɲ# {GOLD: >*} | *#ŋɡuʃtˈɔɲ# {GOLD: >*} | *#ŋɡuʃtˈɔj# {GOLD: #ŋɡuʃtˈɔj#}
33     | #ˌɑntˈoːnium# | *#ˌɑntˈɒːɲʊ# | *#ˌɑntˈoɲu# | *#əntˈoɲu# | *#ə̃ntˈɔ̃ɲu# | *#ə̃ndˈɔ̃ɲə# | *#ə̃ndˈɔ̃ɲ# {GOLD: #n̩dˈuo̯#} | *#ə̃ndˈɔ̃ɲ# {GOLD: ...} | ... {GOLD: ...} | ... {GOLD: ...}
34     | #ˌɑnˈullɑm# | *#ˌɑnˈʊllɑ# | *#ˌɑnˈulːɑ# | *#nˈulːa# | *#nˈulːa# | *#nˈuːlːa# | *#nˈuːlːə# {GOLD: >*} | *#nˈuːlːə# {GOLD: >*} | *#nˈulə# {GOLD: >*} | *#nˈulə# {GOLD: #nˈulə#}
35     | #ˌɑppˌɑrɑmˈentum# | *#ˌɑppˌɑrɑmˈɛntʊ# | *#ˌɑppˌɑrɑmˈɛntu# | *#ppˌaramˈɛntu# | *#pˌaɾə̃mˈɛ̃ntu# | *#pˌaɾə̃mˈɛ̃ndə# | *#pˌaɾə̃mˈɛ̃nd# {GOLD: #paɾmˈɛ̃nd#} | *#pˌaɾmˈɛ̃nd# {GOLD: >*} | *#paɾmˈɛnd# {GOLD: >*} | *#paɾmˈɛnd# {GOLD: #paɾmˈɛnd#}
36     | #ˌɑprˈiːlem# | *#ˌɑprˈilɛ# | *#ˌɑprˈilɛ# | *#prˈilɪ# | *#pɾˈilɪ# | *#pɾˈiːlə# | *#pɾˈiːl# {GOLD: >*} | *#pɾˈiːl# {GOLD: >*} | *#pɾˈil# {GOLD: >*} | *#pɾˈil# {GOLD: #pɾˈilˠ#}
37     | #ˈɑptum# | *#ˈɑptʊ# | *#ˈɑptu# | *#ˈaptu# | *#ˈaptu# | *#ˈaːftə# | *#ˈaːft# {GOLD: >*} | *#ˈaːft# {GOLD: >*} | *#ˈaft# {GOLD: >*} | *#ˈaft# {GOLD: #ˈaft#}
38     | #ˌɑrˈeːnɑm# | *#ˌɑrˈeːnɑ# | *#ˌɑrˈenɑ# | *#ɔːʷrˈana# | *#ʊɾˈãɾ̃a# | *#ʊɾˈãɾ̃a# | *#ɾˈãɾ̃ə# {GOLD: #ɾˈɑ̃ɾ̃ə#} | *#ɾˈãɾ̃ə# {GOLD: >*} | *#ɾˈəɾə# {GOLD: >*} | *#ɾˈəɾə# {GOLD: #ɾˈəɾə#}
39     | #ˌɑrɡˈentum# | *#ˌɑrɡˈɛntʊ# | *#ˌɑrɡˈɛntu# | *#ərɟˈɛntu# | *#əɾɟˈɛ̃ntu# | *#əɾɟˈɛ̃ndə# | *#əɾɟˈɛ̃nd# {GOLD: #ɾ̩ɟˈẽnt#} | *#əɾɟˈɛ̃nd# {GOLD: >*} | *#əɾɟˈɛnd# {GOLD: #əɾɟˈɛnd#} | *#əɾɟˈɛnd# {GOLD: #əɾɟˈɛnd#}
40     | #ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈarma# | *#ˈaɾma# | *#ˈaːɾma# | *#ˈaːɾmə# {GOLD: >*} | *#ˈaːɾmə# {GOLD: >*} | *#ˈaɾmə# {GOLD: >*} | *#ˈaɾmə# {GOLD: #ˈaɾmə#}
41     | #ˌɑrmˈɑːnioː# | *#ˌɑrmˈɒːɲu# | *#ˌɑrmˈoɲu# | *#ərmˈoɲu# | *#əɾmˈɔ̃ɲu# | *#əɾmˈɔ̃ɲə# | *#əɾmˈɔ̃ɲ# {GOLD: #aɾmˈɔ̃ɲ#} | *#əɾmˈɔ̃ɲ# {GOLD: ...} | ... {GOLD: ...} | ... {GOLD: ...}
42     | #ˌɑrmˈɑːtɑ# | *#ˌɑrmˈɑːtɑ# | *#ˌɑrmˈɑtɑ# | *#ərmˈata# | *#əɾmˈata# | *#əɾmˈata# | *#əɾmˈatə# {GOLD: #r̩mˈatə#} | *#əɾmˈatə# {GOLD: >*} | *#əɾmˈatə# {GOLD: >*} | *#əɾmˈatə# {GOLD: #rəmˈatə#}
43     | #ˌɑrmˌissˈɑːrium# | *#ˌɑrmˌɪssˈɒːrʊ# | *#ˌɑrmˌessˈoru# | *#hˌarmɪssˈoru# | *#hˌaɾmɪʃˈɔɾu# | *#hˌaɾməʃˈuo̯ɾə# | *#hˌaɾməʃˈuo̯ɾ# {GOLD: #haɾməʃˈuo̯ɾ#} | *#hˌaɾməʃˈua̯ɾ# {GOLD: >*} | *#haɾməʃˈua̯ɾ# {GOLD: #haɾməʃˈua̯ɾ#} | *#haɾməʃˈɔɾ# {GOLD: #hamʃˈɔɾ#}
44     | #ˌɑrrˌiːwˈɑːnioː# | *#ˌɑrrˈiwɒːɲu# | *#ˌɑrrˈiwoɲu# | *#ˌaːrrˈiwoɲu# | *#ˌaɾɾˈĩːɲu# | *#ˌarːˈĩːɲə# | *#ˌarˈĩːɲ# {GOLD: #ɦarˈĩːɲ#} | *#ˌarˈĩːɲ# {GOLD: >*} | *#arˈiɲ# {GOLD: >*} | *#arˈij# {GOLD: #arˈij#}
45     | #ˈɑrkum# | *#ˈɑrkʊ# | *#ˈɑrku# | *#ˈarku# | *#ˈaɾku# | *#ˈaːɾkə# | *#ˈaːɾk# {GOLD: #ɦˈaɾk#} | *#ˈaːɾk# {GOLD: >*} | *#ˈaɾk# {GOLD: >*} | *#ˈaɾk# {GOLD: #ˈaɾk#}
46     | #ˈɑrkɑm# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈarka# | *#ˈaɾka# | *#ˈaːɾka# | *#ˈaːɾkə# {GOLD: >*} | *#ˈaːɾkə# {GOLD: >*} | *#ˈaɾkə# {GOLD: >*} | *#ˈaɾkə# {GOLD: #ˈaɾkə#}
47     | #ˈɑskulɑ# | *#ˈɑskʊlɑ# | *#ˈɑskulɑ# | *#ˈaskula# | *#ˈaʃkula# | *#ˈaːʃkəlːə# | *#ˈaːʃkl̩ː# {GOLD: #ˈaʃkl̩#} | *#ˈaːʃkl̩ː# {GOLD: >*} | *#ˈaʃkl̩# {GOLD: #ˈaʃklə#} | *#ˈaʃkəl# {GOLD: #ˈaʃkəl#}
48     | #ˌɑspˈɑrɑɡum# | *#ˌɑspˈɑrɑɡʊ# | *#ˌɑspˈɑrɑɡu# | *#spˈaraɡu# | *#ʃpˈaɾɐɡu# | *#ʃpˈaːɾɐɡə# | *#ʃpˈaːɾəɡ# {GOLD: >*} | *#ʃpˈaːɾəɡ# {GOLD: >*} | *#ʃpˈaɾəɡ# {GOLD: >*} | *#ʃpˈaɾɡ# {GOLD: #ʃpˈaɾɡ#}
49     | #ˈɑsper# | *#ˈɑspɛr# | *#ˈɑspɛr# | *#ˈaspɪr# | *#ˈaʃpɪɾ# | *#ˈaːʃpəɾ# | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaʃpɾ̩# {GOLD: >*} | *#ˈaʃpəɾ# {GOLD: #ˈaʃpəɾ#}
50     | #ˌɑːwˈentum# | *#ˌɑːwˈɛntʊ# | *#ˌɑvˈɛntu# | *#vˈɛntu# | *#vˈɛ̃ntu# | *#vˈɛ̃ndə# | *#vˈɛ̃nd# {GOLD: #vˈɛ̃nt#} | *#vˈɛ̃nd# {GOLD: >*} | *#vˈɛnd# {GOLD: >*} | *#vˈɛnd# {GOLD: #vˈɛnd#}
51     | ... | ... | ... | ... | *#ˌaβlə̃mˈẽntu# | *#ˌavlə̃mˈɛ̃ndə# | *#ˌavlə̃mˈɛ̃nd# {GOLD: >*} | *#ˌavlə̃mˈɛ̃nd# {GOLD: >*} | *#avləmˈɛnd# {GOLD: >*} | *#avləmˈɛnd# {GOLD: #avləmˈɛnd#}
52     | #ˌɑwɡˈustum# | *#ˌɑwɡˈʊstʊ# | *#ˌɑwɡˈustu# | *#ɡˈustu# | *#ɡˈuʃtu# | *#ɡˈuːʃtə# | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuʃt# {GOLD: >*} | *#ɡˈuʃt# {GOLD: #ɡˈuʃt#}
53     | #ˌɑwreˈolum# | *#ˌɑwrjˈɒlʊ# | *#ˌɑwrjˈolu# | *#rːˈølu# | *#rːˈœlu# | *#rːˈye̯lˠə# | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: #rˈye̯lˠ#}
54     | #ˈɑwrum# | *#ˈɑwrʊ# | *#ˈɑwru# | *#ˈawru# | *#ˈaːɾu# | *#ˈaːɾə# | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaɾ# {GOLD: >*} | *#ˈaɾ# {GOLD: #ˈaɾ#}
55     | #ˌɑwˈunkulum# | *#ˌɑwˈʊnkʊlʊ# | *#ˌɑwˈunkulu# | *#wˈunkulu# | *#wˈũnkulu# | *#wˈũnɡəlːə# | *#ˈũŋɡl̩ː# {GOLD: #ˈũŋkl̩#} | *#ˈũŋɡl̩ː# {GOLD: >*} | *#ˈuŋɟ# {GOLD: >*} | *#ˈuɲɟ# {GOLD: #ˈuɲɟ#}
56     | #bˈɑlsɑmum# | *#bˈɑlsɑmʊ# | *#bˈɑlsɑmu# | *#bˈalsamu# | *#bˈalʃɐmu# | *#bˈaːlʃɐmə# | *#bˈaːlʃm̩# {GOLD: #bˈalʃm̩#} | *#bˈaːlʃm̩# {GOLD: >*} | *#bˈalt͡ʃm̩# {GOLD: >*} | *#bˈalt͡ʃəm# {GOLD: #bˈalt͡ʃəm#}
57     | #bˈɑlneɑ# | *#bˈɑlɲɑ# | *#bˈɑlɲɑ# | *#bˈalɲa# | *#bˈalɲa# | *#bˈaɲa# | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: #bˈaɲə#}
58     | #bˌɑrˈɑtʰrum# | *#bˌɑrˈɑtʰrʊ# | *#bˌɑrˈɑtru# | *#bˌarˈatru# | *#bˌaɾˈatɾu# | *#bˌaɾˈatɾə# | *#bˌaɾˈatɾ̩# {GOLD: >*} | *#bˌaɾˈatɾ̩# {GOLD: >*} | *#baɾˈatɾ̩# {GOLD: >*} | *#baɾˈatəɾ# {GOLD: #balˈadəɾ#}
59     | #bˈɑrkɑm# | *#bˈɑrkɑ# | *#bˈɑrkɑ# | *#bˈarka# | *#bˈaɾka# | *#bˈaːɾka# | *#bˈaːɾkə# {GOLD: >*} | *#bˈaːɾkə# {GOLD: >*} | *#bˈaɾkə# {GOLD: >*} | *#bˈaɾkə# {GOLD: #bˈaɾkə#}
60     | #bˌɑrˈoːnem# | *#bˌɑrˈɒːnɛ# | *#bˌɑrˈonɛ# | *#bˌarˈonɪ# | *#bˌaɾˈɔ̃ɾ̃ɪ# | *#bˌaɾˈũo̯ɾ̃ə# | *#bˌaɾˈũo̯# {GOLD: #bəɾˈuo̯#} | *#bˌaɾˈũa̯# {GOLD: ...} | ... {GOLD: ...} | ... {GOLD: ...}
61     | #bˌɑttuˈɑːliɑm# | *#bˌɑttwˈɑːʎɑ# | *#bˌɑttwˈɑʎɑ# | *#bˌattˈaʎa# | *#bˌatˈaʎa# | *#bˌatˈaːʎa# | *#bˌatˈaːʎə# {GOLD: >*} | *#bˌatˈaːʎə# {GOLD: >*} | *#batˈajə# {GOLD: >*} | *#batˈajə# {GOLD: #bɛtˈɛjə#}
62     | #bˌɑttuˈɑːliɑm# | *#bˌɑttwˈɑːʎɑ# | *#bˌɑttwˈɑʎɑ# | *#bˌattˈaʎa# | *#bˌatˈaʎa# | *#bˌatˈaːʎa# | *#bˌatˈaːʎə# {GOLD: #bətˈaʎə#} | *#bˌatˈaːʎə# {GOLD: >*} | *#batˈajə# {GOLD: >*} | *#batˈajə# {GOLD: #bətˈajə#}
63     | #bˌenediːkˈonioː# | *#bˌɛnɛdikˈɒɲu# | *#bˌɛndikˈoɲu# | *#bˌɛndkˈoɲu# | *#bˌɛ̃ndkˈɔ̃ɲu# | *#bˌɛ̃ndkˈɔ̃ɲə# | *#bˌɛ̃nkˈɔ̃ɲ# {GOLD: #b̩ndəkˈɔ̃ɲ#} | *#bˌɛ̃nkˈɔ̃ɲ# {GOLD: #bˌn̩kˈɔ̃ɲ#} | *#bɛnkˈɔɲ# {GOLD: >*} | *#bɛnkˈɔj# {GOLD: #bənkˈɔj#}
64     | #bˈeːstiɑm# | *#bˈeːst͡ʃjɑ# | *#bˈest͡ʃjɑ# | *#bˈist͡ʃa# | *#bˈiʃa# | *#bˈiːʃa# | *#bˈiːʃə# {GOLD: >*} | *#bˈiːʃə# {GOLD: >*} | *#bˈiʃə# {GOLD: >*} | *#bˈiʃə# {GOLD: #bˈiʃə#}
65     | #bˌiːnˈɑːrium# | *#bˌiɲˈɒːrʊ# | *#bˌiɲˈoru# | *#bˌiɲˈoru# | *#bˌĩːɲˈɔɾu# | *#bˌĩːɲˈuo̯ɾə# | *#bˌĩːɲˈaɾ# {GOLD: >*} | *#bˌĩːɲˈaɾ# {GOLD: >*} | *#biɲˈaɾ# {GOLD: >*} | *#biɲˈaɾ# {GOLD: #biɲˈaɾ#}
66     | #bˈolɑ# | *#bˈɒlɑ# | *#bˈolɑ# | *#bˈola# | *#bˈɔla# | *#bˈɔːlˠa# | *#bˈɔːlˠə# {GOLD: >*} | *#bˈɔːlˠə# {GOLD: >*} | *#bˈɔlˠə# {GOLD: >*} | *#bˈɔlˠə# {GOLD: #bˈɔlˠə#}
